证券代码,证券简称,起始交易日期,最后交易日期,交割月份,行权价格,期权类型
10000001.SH,50ETF购2015年3月2200,2015-02-09,2015-03-25,201503,2.2000,认购
10000002.SH,50ETF购2015年3月2250,2015-02-09,2015-03-25,201503,2.2500,认购
10000003.SH,50ETF购2015年3月2300,2015-02-09,2015-03-25,201503,2.3000,认购
10000004.SH,50ETF购2015年3月2350,2015-02-09,2015-03-25,201503,2.3500,认购
10000005.SH,50ETF购2015年3月2400,2015-02-09,2015-03-25,201503,2.4000,认购
10000006.SH,50ETF沽2015年3月2200,2015-02-09,2015-03-25,201503,2.2000,认沽
10000007.SH,50ETF沽2015年3月2250,2015-02-09,2015-03-25,201503,2.2500,认沽
10000008.SH,50ETF沽2015年3月2300,2015-02-09,2015-03-25,201503,2.3000,认沽
10000009.SH,50ETF沽2015年3月2350,2015-02-09,2015-03-25,201503,2.3500,认沽
10000010.SH,50ETF沽2015年3月2400,2015-02-09,2015-03-25,201503,2.4000,认沽
10000011.SH,50ETF购2015年4月2200,2015-02-09,2015-04-22,201504,2.2000,认购
10000012.SH,50ETF购2015年4月2250,2015-02-09,2015-04-22,201504,2.2500,认购
10000013.SH,50ETF购2015年4月2300,2015-02-09,2015-04-22,201504,2.3000,认购
10000014.SH,50ETF购2015年4月2350,2015-02-09,2015-04-22,201504,2.3500,认购
10000015.SH,50ETF购2015年4月2400,2015-02-09,2015-04-22,201504,2.4000,认购
10000016.SH,50ETF沽2015年4月2200,2015-02-09,2015-04-22,201504,2.2000,认沽
10000017.SH,50ETF沽2015年4月2250,2015-02-09,2015-04-22,201504,2.2500,认沽
10000018.SH,50ETF沽2015年4月2300,2015-02-09,2015-04-22,201504,2.3000,认沽
10000019.SH,50ETF沽2015年4月2350,2015-02-09,2015-04-22,201504,2.3500,认沽
10000020.SH,50ETF沽2015年4月2400,2015-02-09,2015-04-22,201504,2.4000,认沽
10000021.SH,50ETF购2015年6月2200,2015-02-09,2015-06-24,201506,2.2000,认购
10000022.SH,50ETF购2015年6月2250,2015-02-09,2015-06-24,201506,2.2500,认购
10000023.SH,50ETF购2015年6月2300,2015-02-09,2015-06-24,201506,2.3000,认购
10000024.SH,50ETF购2015年6月2350,2015-02-09,2015-06-24,201506,2.3500,认购
10000025.SH,50ETF购2015年6月2400,2015-02-09,2015-06-24,201506,2.4000,认购
10000026.SH,50ETF沽2015年6月2200,2015-02-09,2015-06-24,201506,2.2000,认沽
10000027.SH,50ETF沽2015年6月2250,2015-02-09,2015-06-24,201506,2.2500,认沽
10000028.SH,50ETF沽2015年6月2300,2015-02-09,2015-06-24,201506,2.3000,认沽
10000029.SH,50ETF沽2015年6月2350,2015-02-09,2015-06-24,201506,2.3500,认沽
10000030.SH,50ETF沽2015年6月2400,2015-02-09,2015-06-24,201506,2.4000,认沽
10000031.SH,50ETF购2015年9月2200,2015-02-09,2015-09-23,201509,2.2000,认购
10000032.SH,50ETF购2015年9月2250,2015-02-09,2015-09-23,201509,2.2500,认购
10000033.SH,50ETF购2015年9月2300,2015-02-09,2015-09-23,201509,2.3000,认购
10000034.SH,50ETF购2015年9月2350,2015-02-09,2015-09-23,201509,2.3500,认购
10000035.SH,50ETF购2015年9月2400,2015-02-09,2015-09-23,201509,2.4000,认购
10000036.SH,50ETF沽2015年9月2200,2015-02-09,2015-09-23,201509,2.2000,认沽
10000037.SH,50ETF沽2015年9月2250,2015-02-09,2015-09-23,201509,2.2500,认沽
10000038.SH,50ETF沽2015年9月2300,2015-02-09,2015-09-23,201509,2.3000,认沽
10000039.SH,50ETF沽2015年9月2350,2015-02-09,2015-09-23,201509,2.3500,认沽
10000040.SH,50ETF沽2015年9月2400,2015-02-09,2015-09-23,201509,2.4000,认沽
10000041.SH,50ETF购2015年3月2450,2015-02-10,2015-03-25,201503,2.4500,认购
10000042.SH,50ETF沽2015年3月2450,2015-02-10,2015-03-25,201503,2.4500,认沽
10000043.SH,50ETF购2015年4月2450,2015-02-10,2015-04-22,201504,2.4500,认购
10000044.SH,50ETF沽2015年4月2450,2015-02-10,2015-04-22,201504,2.4500,认沽
10000045.SH,50ETF购2015年6月2450,2015-02-10,2015-06-24,201506,2.4500,认购
10000046.SH,50ETF沽2015年6月2450,2015-02-10,2015-06-24,201506,2.4500,认沽
10000047.SH,50ETF购2015年9月2450,2015-02-10,2015-09-23,201509,2.4500,认购
10000048.SH,50ETF沽2015年9月2450,2015-02-10,2015-09-23,201509,2.4500,认沽
10000049.SH,50ETF购2015年3月2500,2015-02-12,2015-03-25,201503,2.5000,认购
10000050.SH,50ETF沽2015年3月2500,2015-02-12,2015-03-25,201503,2.5000,认沽
10000051.SH,50ETF购2015年4月2500,2015-02-12,2015-04-22,201504,2.5000,认购
10000052.SH,50ETF沽2015年4月2500,2015-02-12,2015-04-22,201504,2.5000,认沽
10000053.SH,50ETF购2015年6月2500,2015-02-12,2015-06-24,201506,2.5000,认购
10000054.SH,50ETF沽2015年6月2500,2015-02-12,2015-06-24,201506,2.5000,认沽
10000055.SH,50ETF购2015年9月2500,2015-02-12,2015-09-23,201509,2.5000,认购
10000056.SH,50ETF沽2015年9月2500,2015-02-12,2015-09-23,201509,2.5000,认沽
10000057.SH,50ETF购2015年3月2550,2015-02-27,2015-03-25,201503,2.5500,认购
10000058.SH,50ETF沽2015年3月2550,2015-02-27,2015-03-25,201503,2.5500,认沽
10000059.SH,50ETF购2015年4月2550,2015-02-27,2015-04-22,201504,2.5500,认购
10000060.SH,50ETF沽2015年4月2550,2015-02-27,2015-04-22,201504,2.5500,认沽
10000061.SH,50ETF购2015年6月2550,2015-02-27,2015-06-24,201506,2.5500,认购
10000062.SH,50ETF沽2015年6月2550,2015-02-27,2015-06-24,201506,2.5500,认沽
10000063.SH,50ETF购2015年9月2550,2015-02-27,2015-09-23,201509,2.5500,认购
10000064.SH,50ETF沽2015年9月2550,2015-02-27,2015-09-23,201509,2.5500,认沽
10000065.SH,50ETF购2015年3月2600,2015-03-17,2015-03-25,201503,2.6000,认购
10000066.SH,50ETF沽2015年3月2600,2015-03-17,2015-03-25,201503,2.6000,认沽
10000067.SH,50ETF购2015年4月2600,2015-03-17,2015-04-22,201504,2.6000,认购
10000068.SH,50ETF沽2015年4月2600,2015-03-17,2015-04-22,201504,2.6000,认沽
10000069.SH,50ETF购2015年6月2600,2015-03-17,2015-06-24,201506,2.6000,认购
10000070.SH,50ETF沽2015年6月2600,2015-03-17,2015-06-24,201506,2.6000,认沽
10000071.SH,50ETF购2015年9月2600,2015-03-17,2015-09-23,201509,2.6000,认购
10000072.SH,50ETF沽2015年9月2600,2015-03-17,2015-09-23,201509,2.6000,认沽
10000073.SH,50ETF购2015年3月2650,2015-03-18,2015-03-25,201503,2.6500,认购
10000074.SH,50ETF沽2015年3月2650,2015-03-18,2015-03-25,201503,2.6500,认沽
10000075.SH,50ETF购2015年4月2650,2015-03-18,2015-04-22,201504,2.6500,认购
10000076.SH,50ETF沽2015年4月2650,2015-03-18,2015-04-22,201504,2.6500,认沽
10000077.SH,50ETF购2015年6月2650,2015-03-18,2015-06-24,201506,2.6500,认购
10000078.SH,50ETF沽2015年6月2650,2015-03-18,2015-06-24,201506,2.6500,认沽
10000079.SH,50ETF购2015年9月2650,2015-03-18,2015-09-23,201509,2.6500,认购
10000080.SH,50ETF沽2015年9月2650,2015-03-18,2015-09-23,201509,2.6500,认沽
10000081.SH,50ETF购2015年3月2700,2015-03-19,2015-03-25,201503,2.7000,认购
10000082.SH,50ETF沽2015年3月2700,2015-03-19,2015-03-25,201503,2.7000,认沽
10000083.SH,50ETF购2015年4月2700,2015-03-19,2015-04-22,201504,2.7000,认购
10000084.SH,50ETF沽2015年4月2700,2015-03-19,2015-04-22,201504,2.7000,认沽
10000085.SH,50ETF购2015年6月2700,2015-03-19,2015-06-24,201506,2.7000,认购
10000086.SH,50ETF沽2015年6月2700,2015-03-19,2015-06-24,201506,2.7000,认沽
10000087.SH,50ETF购2015年9月2700,2015-03-19,2015-09-23,201509,2.7000,认购
10000088.SH,50ETF沽2015年9月2700,2015-03-19,2015-09-23,201509,2.7000,认沽
10000089.SH,50ETF购2015年3月2750,2015-03-23,2015-03-25,201503,2.7500,认购
10000090.SH,50ETF沽2015年3月2750,2015-03-23,2015-03-25,201503,2.7500,认沽
10000091.SH,50ETF购2015年4月2750,2015-03-23,2015-04-22,201504,2.7500,认购
10000092.SH,50ETF沽2015年4月2750,2015-03-23,2015-04-22,201504,2.7500,认沽
10000093.SH,50ETF购2015年6月2750,2015-03-23,2015-06-24,201506,2.7500,认购
10000094.SH,50ETF沽2015年6月2750,2015-03-23,2015-06-24,201506,2.7500,认沽
10000095.SH,50ETF购2015年9月2750,2015-03-23,2015-09-23,201509,2.7500,认购
10000096.SH,50ETF沽2015年9月2750,2015-03-23,2015-09-23,201509,2.7500,认沽
10000097.SH,50ETF购2015年3月2800,2015-03-24,2015-03-25,201503,2.8000,认购
10000098.SH,50ETF沽2015年3月2800,2015-03-24,2015-03-25,201503,2.8000,认沽
10000099.SH,50ETF购2015年4月2800,2015-03-24,2015-04-22,201504,2.8000,认购
10000100.SH,50ETF沽2015年4月2800,2015-03-24,2015-04-22,201504,2.8000,认沽
10000101.SH,50ETF购2015年6月2800,2015-03-24,2015-06-24,201506,2.8000,认购
10000102.SH,50ETF沽2015年6月2800,2015-03-24,2015-06-24,201506,2.8000,认沽
10000103.SH,50ETF购2015年9月2800,2015-03-24,2015-09-23,201509,2.8000,认购
10000104.SH,50ETF沽2015年9月2800,2015-03-24,2015-09-23,201509,2.8000,认沽
10000105.SH,50ETF购2015年5月2500,2015-03-26,2015-05-27,201505,2.5000,认购
10000106.SH,50ETF购2015年5月2550,2015-03-26,2015-05-27,201505,2.5500,认购
10000107.SH,50ETF购2015年5月2600,2015-03-26,2015-05-27,201505,2.6000,认购
10000108.SH,50ETF购2015年5月2650,2015-03-26,2015-05-27,201505,2.6500,认购
10000109.SH,50ETF购2015年5月2700,2015-03-26,2015-05-27,201505,2.7000,认购
10000110.SH,50ETF沽2015年5月2500,2015-03-26,2015-05-27,201505,2.5000,认沽
10000111.SH,50ETF沽2015年5月2550,2015-03-26,2015-05-27,201505,2.5500,认沽
10000112.SH,50ETF沽2015年5月2600,2015-03-26,2015-05-27,201505,2.6000,认沽
10000113.SH,50ETF沽2015年5月2650,2015-03-26,2015-05-27,201505,2.6500,认沽
10000114.SH,50ETF沽2015年5月2700,2015-03-26,2015-05-27,201505,2.7000,认沽
10000115.SH,50ETF购2015年5月2750,2015-03-27,2015-05-27,201505,2.7500,认购
10000116.SH,50ETF沽2015年5月2750,2015-03-27,2015-05-27,201505,2.7500,认沽
10000117.SH,50ETF购2015年4月2850,2015-03-31,2015-04-22,201504,2.8500,认购
10000118.SH,50ETF沽2015年4月2850,2015-03-31,2015-04-22,201504,2.8500,认沽
10000119.SH,50ETF购2015年5月2800,2015-03-31,2015-05-27,201505,2.8000,认购
10000120.SH,50ETF购2015年5月2850,2015-03-31,2015-05-27,201505,2.8500,认购
10000121.SH,50ETF沽2015年5月2800,2015-03-31,2015-05-27,201505,2.8000,认沽
10000122.SH,50ETF沽2015年5月2850,2015-03-31,2015-05-27,201505,2.8500,认沽
10000123.SH,50ETF购2015年6月2850,2015-03-31,2015-06-24,201506,2.8500,认购
10000124.SH,50ETF沽2015年6月2850,2015-03-31,2015-06-24,201506,2.8500,认沽
10000125.SH,50ETF购2015年9月2850,2015-03-31,2015-09-23,201509,2.8500,认购
10000126.SH,50ETF沽2015年9月2850,2015-03-31,2015-09-23,201509,2.8500,认沽
10000127.SH,50ETF购2015年4月2900,2015-04-08,2015-04-22,201504,2.9000,认购
10000128.SH,50ETF购2015年4月2950,2015-04-08,2015-04-22,201504,2.9500,认购
10000129.SH,50ETF沽2015年4月2900,2015-04-08,2015-04-22,201504,2.9000,认沽
10000130.SH,50ETF沽2015年4月2950,2015-04-08,2015-04-22,201504,2.9500,认沽
10000131.SH,50ETF购2015年5月2900,2015-04-08,2015-05-27,201505,2.9000,认购
10000132.SH,50ETF购2015年5月2950,2015-04-08,2015-05-27,201505,2.9500,认购
10000133.SH,50ETF沽2015年5月2900,2015-04-08,2015-05-27,201505,2.9000,认沽
10000134.SH,50ETF沽2015年5月2950,2015-04-08,2015-05-27,201505,2.9500,认沽
10000135.SH,50ETF购2015年6月2900,2015-04-08,2015-06-24,201506,2.9000,认购
10000136.SH,50ETF购2015年6月2950,2015-04-08,2015-06-24,201506,2.9500,认购
10000137.SH,50ETF沽2015年6月2900,2015-04-08,2015-06-24,201506,2.9000,认沽
10000138.SH,50ETF沽2015年6月2950,2015-04-08,2015-06-24,201506,2.9500,认沽
10000139.SH,50ETF购2015年9月2900,2015-04-08,2015-09-23,201509,2.9000,认购
10000140.SH,50ETF购2015年9月2950,2015-04-08,2015-09-23,201509,2.9500,认购
10000141.SH,50ETF沽2015年9月2900,2015-04-08,2015-09-23,201509,2.9000,认沽
10000142.SH,50ETF沽2015年9月2950,2015-04-08,2015-09-23,201509,2.9500,认沽
10000143.SH,50ETF购2015年4月3000,2015-04-09,2015-04-22,201504,3.0000,认购
10000144.SH,50ETF沽2015年4月3000,2015-04-09,2015-04-22,201504,3.0000,认沽
10000145.SH,50ETF购2015年5月3000,2015-04-09,2015-05-27,201505,3.0000,认购
10000146.SH,50ETF沽2015年5月3000,2015-04-09,2015-05-27,201505,3.0000,认沽
10000147.SH,50ETF购2015年6月3000,2015-04-09,2015-06-24,201506,3.0000,认购
10000148.SH,50ETF沽2015年6月3000,2015-04-09,2015-06-24,201506,3.0000,认沽
10000149.SH,50ETF购2015年9月3000,2015-04-09,2015-09-23,201509,3.0000,认购
10000150.SH,50ETF沽2015年9月3000,2015-04-09,2015-09-23,201509,3.0000,认沽
10000151.SH,50ETF购2015年4月3100,2015-04-13,2015-04-22,201504,3.1000,认购
10000152.SH,50ETF沽2015年4月3100,2015-04-13,2015-04-22,201504,3.1000,认沽
10000153.SH,50ETF购2015年5月3100,2015-04-13,2015-05-27,201505,3.1000,认购
10000154.SH,50ETF沽2015年5月3100,2015-04-13,2015-05-27,201505,3.1000,认沽
10000155.SH,50ETF购2015年6月3100,2015-04-13,2015-06-24,201506,3.1000,认购
10000156.SH,50ETF沽2015年6月3100,2015-04-13,2015-06-24,201506,3.1000,认沽
10000157.SH,50ETF购2015年9月3100,2015-04-13,2015-09-23,201509,3.1000,认购
10000158.SH,50ETF沽2015年9月3100,2015-04-13,2015-09-23,201509,3.1000,认沽
10000159.SH,50ETF购2015年4月3200,2015-04-14,2015-04-22,201504,3.2000,认购
10000160.SH,50ETF沽2015年4月3200,2015-04-14,2015-04-22,201504,3.2000,认沽
10000161.SH,50ETF购2015年5月3200,2015-04-14,2015-05-27,201505,3.2000,认购
10000162.SH,50ETF沽2015年5月3200,2015-04-14,2015-05-27,201505,3.2000,认沽
10000163.SH,50ETF购2015年6月3200,2015-04-14,2015-06-24,201506,3.2000,认购
10000164.SH,50ETF沽2015年6月3200,2015-04-14,2015-06-24,201506,3.2000,认沽
10000165.SH,50ETF购2015年9月3200,2015-04-14,2015-09-23,201509,3.2000,认购
10000166.SH,50ETF沽2015年9月3200,2015-04-14,2015-09-23,201509,3.2000,认沽
10000167.SH,50ETF购2015年4月3300,2015-04-17,2015-04-22,201504,3.3000,认购
10000168.SH,50ETF沽2015年4月3300,2015-04-17,2015-04-22,201504,3.3000,认沽
10000169.SH,50ETF购2015年5月3300,2015-04-17,2015-05-27,201505,3.3000,认购
10000170.SH,50ETF沽2015年5月3300,2015-04-17,2015-05-27,201505,3.3000,认沽
10000171.SH,50ETF购2015年6月3300,2015-04-17,2015-06-24,201506,3.3000,认购
10000172.SH,50ETF沽2015年6月3300,2015-04-17,2015-06-24,201506,3.3000,认沽
10000173.SH,50ETF购2015年9月3300,2015-04-17,2015-09-23,201509,3.3000,认购
10000174.SH,50ETF沽2015年9月3300,2015-04-17,2015-09-23,201509,3.3000,认沽
10000175.SH,50ETF购2015年4月3400,2015-04-20,2015-04-22,201504,3.4000,认购
10000176.SH,50ETF沽2015年4月3400,2015-04-20,2015-04-22,201504,3.4000,认沽
10000177.SH,50ETF购2015年5月3400,2015-04-20,2015-05-27,201505,3.4000,认购
10000178.SH,50ETF沽2015年5月3400,2015-04-20,2015-05-27,201505,3.4000,认沽
10000179.SH,50ETF购2015年6月3400,2015-04-20,2015-06-24,201506,3.4000,认购
10000180.SH,50ETF沽2015年6月3400,2015-04-20,2015-06-24,201506,3.4000,认沽
10000181.SH,50ETF购2015年9月3400,2015-04-20,2015-09-23,201509,3.4000,认购
10000182.SH,50ETF沽2015年9月3400,2015-04-20,2015-09-23,201509,3.4000,认沽
10000183.SH,50ETF购2015年12月3000,2015-04-23,2015-12-23,201512,3.0000,认购
10000184.SH,50ETF购2015年12月3100,2015-04-23,2015-12-23,201512,3.1000,认购
10000185.SH,50ETF购2015年12月3200,2015-04-23,2015-12-23,201512,3.2000,认购
10000186.SH,50ETF购2015年12月3300,2015-04-23,2015-12-23,201512,3.3000,认购
10000187.SH,50ETF购2015年12月3400,2015-04-23,2015-12-23,201512,3.4000,认购
10000188.SH,50ETF沽2015年12月3000,2015-04-23,2015-12-23,201512,3.0000,认沽
10000189.SH,50ETF沽2015年12月3100,2015-04-23,2015-12-23,201512,3.1000,认沽
10000190.SH,50ETF沽2015年12月3200,2015-04-23,2015-12-23,201512,3.2000,认沽
10000191.SH,50ETF沽2015年12月3300,2015-04-23,2015-12-23,201512,3.3000,认沽
10000192.SH,50ETF沽2015年12月3400,2015-04-23,2015-12-23,201512,3.4000,认沽
10000193.SH,50ETF购2015年5月3500,2015-04-28,2015-05-27,201505,3.5000,认购
10000194.SH,50ETF沽2015年5月3500,2015-04-28,2015-05-27,201505,3.5000,认沽
10000195.SH,50ETF购2015年6月3500,2015-04-28,2015-06-24,201506,3.5000,认购
10000196.SH,50ETF沽2015年6月3500,2015-04-28,2015-06-24,201506,3.5000,认沽
10000197.SH,50ETF购2015年9月3500,2015-04-28,2015-09-23,201509,3.5000,认购
10000198.SH,50ETF沽2015年9月3500,2015-04-28,2015-09-23,201509,3.5000,认沽
10000199.SH,50ETF购2015年12月3500,2015-04-28,2015-12-23,201512,3.5000,认购
10000200.SH,50ETF沽2015年12月3500,2015-04-28,2015-12-23,201512,3.5000,认沽
10000201.SH,50ETF购2015年12月2950,2015-05-06,2015-12-23,201512,2.9500,认购
10000202.SH,50ETF沽2015年12月2950,2015-05-06,2015-12-23,201512,2.9500,认沽
10000203.SH,50ETF购2015年12月2900,2015-05-08,2015-12-23,201512,2.9000,认购
10000204.SH,50ETF沽2015年12月2900,2015-05-08,2015-12-23,201512,2.9000,认沽
10000205.SH,50ETF购2015年12月2850,2015-05-19,2015-12-23,201512,2.8500,认购
10000206.SH,50ETF沽2015年12月2850,2015-05-19,2015-12-23,201512,2.8500,认沽
10000207.SH,50ETF购2015年7月3100,2015-05-28,2015-07-22,201507,3.1000,认购
10000208.SH,50ETF购2015年7月3200,2015-05-28,2015-07-22,201507,3.2000,认购
10000209.SH,50ETF购2015年7月3300,2015-05-28,2015-07-22,201507,3.3000,认购
10000210.SH,50ETF购2015年7月3400,2015-05-28,2015-07-22,201507,3.4000,认购
10000211.SH,50ETF购2015年7月3500,2015-05-28,2015-07-22,201507,3.5000,认购
10000212.SH,50ETF沽2015年7月3100,2015-05-28,2015-07-22,201507,3.1000,认沽
10000213.SH,50ETF沽2015年7月3200,2015-05-28,2015-07-22,201507,3.2000,认沽
10000214.SH,50ETF沽2015年7月3300,2015-05-28,2015-07-22,201507,3.3000,认沽
10000215.SH,50ETF沽2015年7月3400,2015-05-28,2015-07-22,201507,3.4000,认沽
10000216.SH,50ETF沽2015年7月3500,2015-05-28,2015-07-22,201507,3.5000,认沽
10000217.SH,50ETF购2015年7月2950,2015-05-29,2015-07-22,201507,2.9500,认购
10000218.SH,50ETF购2015年7月3000,2015-05-29,2015-07-22,201507,3.0000,认购
10000219.SH,50ETF沽2015年7月2950,2015-05-29,2015-07-22,201507,2.9500,认沽
10000220.SH,50ETF沽2015年7月3000,2015-05-29,2015-07-22,201507,3.0000,认沽
10000221.SH,50ETF购2015年6月3600,2015-06-09,2015-06-24,201506,3.6000,认购
10000222.SH,50ETF沽2015年6月3600,2015-06-09,2015-06-24,201506,3.6000,认沽
10000223.SH,50ETF购2015年7月3600,2015-06-09,2015-07-22,201507,3.6000,认购
10000224.SH,50ETF沽2015年7月3600,2015-06-09,2015-07-22,201507,3.6000,认沽
10000225.SH,50ETF购2015年9月3600,2015-06-09,2015-09-23,201509,3.6000,认购
10000226.SH,50ETF沽2015年9月3600,2015-06-09,2015-09-23,201509,3.6000,认沽
10000227.SH,50ETF购2015年12月3600,2015-06-09,2015-12-23,201512,3.6000,认购
10000228.SH,50ETF沽2015年12月3600,2015-06-09,2015-12-23,201512,3.6000,认沽
10000229.SH,50ETF购2015年7月2900,2015-06-19,2015-07-22,201507,2.9000,认购
10000230.SH,50ETF沽2015年7月2900,2015-06-19,2015-07-22,201507,2.9000,认沽
10000231.SH,50ETF购2015年7月2750,2015-06-23,2015-07-22,201507,2.7500,认购
10000232.SH,50ETF购2015年7月2800,2015-06-23,2015-07-22,201507,2.8000,认购
10000233.SH,50ETF购2015年7月2850,2015-06-23,2015-07-22,201507,2.8500,认购
10000234.SH,50ETF沽2015年7月2750,2015-06-23,2015-07-22,201507,2.7500,认沽
10000235.SH,50ETF沽2015年7月2800,2015-06-23,2015-07-22,201507,2.8000,认沽
10000236.SH,50ETF沽2015年7月2850,2015-06-23,2015-07-22,201507,2.8500,认沽
10000237.SH,50ETF购2015年12月2750,2015-06-23,2015-12-23,201512,2.7500,认购
10000238.SH,50ETF购2015年12月2800,2015-06-23,2015-12-23,201512,2.8000,认购
10000239.SH,50ETF沽2015年12月2750,2015-06-23,2015-12-23,201512,2.7500,认沽
10000240.SH,50ETF沽2015年12月2800,2015-06-23,2015-12-23,201512,2.8000,认沽
10000241.SH,50ETF购2015年8月2900,2015-06-25,2015-08-26,201508,2.9000,认购
10000242.SH,50ETF购2015年8月2950,2015-06-25,2015-08-26,201508,2.9500,认购
10000243.SH,50ETF购2015年8月3000,2015-06-25,2015-08-26,201508,3.0000,认购
10000244.SH,50ETF购2015年8月3100,2015-06-25,2015-08-26,201508,3.1000,认购
10000245.SH,50ETF购2015年8月3200,2015-06-25,2015-08-26,201508,3.2000,认购
10000246.SH,50ETF沽2015年8月2900,2015-06-25,2015-08-26,201508,2.9000,认沽
10000247.SH,50ETF沽2015年8月2950,2015-06-25,2015-08-26,201508,2.9500,认沽
10000248.SH,50ETF沽2015年8月3000,2015-06-25,2015-08-26,201508,3.0000,认沽
10000249.SH,50ETF沽2015年8月3100,2015-06-25,2015-08-26,201508,3.1000,认沽
10000250.SH,50ETF沽2015年8月3200,2015-06-25,2015-08-26,201508,3.2000,认沽
10000251.SH,50ETF购2015年8月2800,2015-06-26,2015-08-26,201508,2.8000,认购
10000252.SH,50ETF购2015年8月2850,2015-06-26,2015-08-26,201508,2.8500,认购
10000253.SH,50ETF沽2015年8月2800,2015-06-26,2015-08-26,201508,2.8000,认沽
10000254.SH,50ETF沽2015年8月2850,2015-06-26,2015-08-26,201508,2.8500,认沽
10000255.SH,50ETF购2015年7月2600,2015-06-29,2015-07-22,201507,2.6000,认购
10000256.SH,50ETF购2015年7月2650,2015-06-29,2015-07-22,201507,2.6500,认购
10000257.SH,50ETF购2015年7月2700,2015-06-29,2015-07-22,201507,2.7000,认购
10000258.SH,50ETF沽2015年7月2600,2015-06-29,2015-07-22,201507,2.6000,认沽
10000259.SH,50ETF沽2015年7月2650,2015-06-29,2015-07-22,201507,2.6500,认沽
10000260.SH,50ETF沽2015年7月2700,2015-06-29,2015-07-22,201507,2.7000,认沽
10000261.SH,50ETF购2015年8月2600,2015-06-29,2015-08-26,201508,2.6000,认购
10000262.SH,50ETF购2015年8月2650,2015-06-29,2015-08-26,201508,2.6500,认购
10000263.SH,50ETF购2015年8月2700,2015-06-29,2015-08-26,201508,2.7000,认购
10000264.SH,50ETF购2015年8月2750,2015-06-29,2015-08-26,201508,2.7500,认购
10000265.SH,50ETF沽2015年8月2600,2015-06-29,2015-08-26,201508,2.6000,认沽
10000266.SH,50ETF沽2015年8月2650,2015-06-29,2015-08-26,201508,2.6500,认沽
10000267.SH,50ETF沽2015年8月2700,2015-06-29,2015-08-26,201508,2.7000,认沽
10000268.SH,50ETF沽2015年8月2750,2015-06-29,2015-08-26,201508,2.7500,认沽
10000269.SH,50ETF购2015年12月2600,2015-06-29,2015-12-23,201512,2.6000,认购
10000270.SH,50ETF购2015年12月2650,2015-06-29,2015-12-23,201512,2.6500,认购
10000271.SH,50ETF购2015年12月2700,2015-06-29,2015-12-23,201512,2.7000,认购
10000272.SH,50ETF沽2015年12月2600,2015-06-29,2015-12-23,201512,2.6000,认沽
10000273.SH,50ETF沽2015年12月2650,2015-06-29,2015-12-23,201512,2.6500,认沽
10000274.SH,50ETF沽2015年12月2700,2015-06-29,2015-12-23,201512,2.7000,认沽
10000275.SH,50ETF购2015年7月2550,2015-06-30,2015-07-22,201507,2.5500,认购
10000276.SH,50ETF沽2015年7月2550,2015-06-30,2015-07-22,201507,2.5500,认沽
10000277.SH,50ETF购2015年8月2550,2015-06-30,2015-08-26,201508,2.5500,认购
10000278.SH,50ETF沽2015年8月2550,2015-06-30,2015-08-26,201508,2.5500,认沽
10000279.SH,50ETF购2015年12月2550,2015-06-30,2015-12-23,201512,2.5500,认购
10000280.SH,50ETF沽2015年12月2550,2015-06-30,2015-12-23,201512,2.5500,认沽
10000281.SH,50ETF购2015年7月2500,2015-07-06,2015-07-22,201507,2.5000,认购
10000282.SH,50ETF沽2015年7月2500,2015-07-06,2015-07-22,201507,2.5000,认沽
10000283.SH,50ETF购2015年8月2500,2015-07-06,2015-08-26,201508,2.5000,认购
10000284.SH,50ETF沽2015年8月2500,2015-07-06,2015-08-26,201508,2.5000,认沽
10000285.SH,50ETF购2015年12月2500,2015-07-06,2015-12-23,201512,2.5000,认购
10000286.SH,50ETF沽2015年12月2500,2015-07-06,2015-12-23,201512,2.5000,认沽
10000287.SH,50ETF购2016年3月2650,2015-07-23,2016-03-23,201603,2.6500,认购
10000288.SH,50ETF购2016年3月2700,2015-07-23,2016-03-23,201603,2.7000,认购
10000289.SH,50ETF购2016年3月2750,2015-07-23,2016-03-23,201603,2.7500,认购
10000290.SH,50ETF购2016年3月2800,2015-07-23,2016-03-23,201603,2.8000,认购
10000291.SH,50ETF购2016年3月2850,2015-07-23,2016-03-23,201603,2.8500,认购
10000292.SH,50ETF沽2016年3月2650,2015-07-23,2016-03-23,201603,2.6500,认沽
10000293.SH,50ETF沽2016年3月2700,2015-07-23,2016-03-23,201603,2.7000,认沽
10000294.SH,50ETF沽2016年3月2750,2015-07-23,2016-03-23,201603,2.7500,认沽
10000295.SH,50ETF沽2016年3月2800,2015-07-23,2016-03-23,201603,2.8000,认沽
10000296.SH,50ETF沽2016年3月2850,2015-07-23,2016-03-23,201603,2.8500,认沽
10000297.SH,50ETF购2016年3月2900,2015-07-24,2016-03-23,201603,2.9000,认购
10000298.SH,50ETF沽2016年3月2900,2015-07-24,2016-03-23,201603,2.9000,认沽
10000299.SH,50ETF购2015年8月2400,2015-07-28,2015-08-26,201508,2.4000,认购
10000300.SH,50ETF购2015年8月2450,2015-07-28,2015-08-26,201508,2.4500,认购
10000301.SH,50ETF沽2015年8月2400,2015-07-28,2015-08-26,201508,2.4000,认沽
10000302.SH,50ETF沽2015年8月2450,2015-07-28,2015-08-26,201508,2.4500,认沽
10000303.SH,50ETF购2015年12月2400,2015-07-28,2015-12-23,201512,2.4000,认购
